,input,filtered,denoisedF,denoisedR,merged,nonchim
WS-10-1-B,37398,22863,17659,21565,8026,7652
WS-10-2-B,42487,22015,15902,20696,7126,6741
WS-10-3-B,33643,22652,20544,25754,9771,9129
WS-10-4-B,29117,22335,37776,44298,16450,14250
WS-10-5-B,36139,27444,31902,33929,17566,15814
WS-11-1-B,62556,46704,35978,48776,10096,9217
WS-11-2-B,51032,35458,27956,38251,9047,8279
WS-11-3-B,68717,53072,34429,43408,14457,13067
WS-11-4-B,57901,41065,3851,4828,1958,1915
WS-11-5-B,59263,46292,1284,1651,575,575
WS-1-1-B,11252,5298,13045,20202,2851,2754
WS-12-1-B,3103,1995,21425,27278,6771,5283
WS-12-2-B,29919,22205,27095,40543,5659,5480
WS-12-3-B,41406,28935,1744,2288,638,638
WS-12-4-B,58413,44349,14306,17803,7351,6819
WS-12-5-B,8535,2671,524,685,157,157
WS-1-2-B,32125,18768,2653,3454,1420,1420
WS-13-1-B,1808,941,16107,25126,4518,4136
WS-13-2-B,8874,3880,14877,16598,7638,7333
WS-13-3-B,37376,27393,7493,8991,3498,3498
WS-13-4-B,29588,17524,44497,58181,14598,13156
WS-13-5-B,26628,9790,3554,4244,1560,1560
WS-1-3-B,83098,62272,21651,33092,6269,6184
WS-14-1-B,7416,4737,28556,32622,12086,10022
WS-14-2-B,47327,36437,20956,31953,4555,4503
WS-14-3-B,50437,34478,20810,32269,4293,3313
WS-14-4-B,47336,35177,39410,52903,13466,12526
WS-14-5-B,49964,35030,25201,27081,14462,12369
WS-1-4-B,82553,56791,6609,7633,4158,4042
WS-15-1-B,43765,28207,2,22,2,2
WS-15-2-B,29835,8031,2,11,0,0
WS-15-3-B,111,87,11,20,11,11
WS-15-4-B,114,57,39182,50788,13589,12453
WS-15-5-B,261,193,2,86,2,2
WS-1-5-B,76868,54143,34,65,0,0
WS-16-1-B,242,177,7,28,0,0
WS-16-2-B,323,253,1,33,0,0
WS-16-3-B,188,93,3,34,0,0
WS-16-4-B,227,182,2,14,2,2
WS-16-5-B,146,105,1,9,0,0
WS-17-1-B,104,69,2,54,0,0
WS-17-2-B,122,46,4,15,4,4
WS-17-3-B,269,207,1,1,0,0
WS-17-4-B,216,134,2,13,2,2
WS-17-5-B,245,172,2,17,0,0
WS-18-1-B,169,74,1,8,0,0
WS-18-2-B,171,133,11208,14615,3761,3540
WS-18-3-B,120,75,17910,25486,4548,4225
WS-18-4-B,22123,15662,28009,39968,6484,5908
WS-18-5-B,38192,28001,25733,34854,6572,6282
WS-19-1-B,57911,42796,31943,43809,9471,8851
WS-19-2-B,53898,37379,22103,32978,5689,5667
WS-19-3-B,64114,46748,26265,35041,8804,8369
WS-19-4-B,52851,35514,9377,16378,1412,1412
WS-19-5-B,50963,37413,17818,27970,3828,3320
WS-20-1-B,24784,18588,31266,45646,8478,7568
WS-20-2-B,41462,31307,8432,16261,1589,1589
WS-20-3-B,65135,49873,476,1316,5,5
WS-20-4-B,39880,18018,4829,7260,1892,1827
WS-20-5-B,11376,2117,10375,17266,3115,3028
WS-21-1-B,25202,8081,19832,28123,7290,6117
WS-21-2-B,35259,18995,16917,23946,6291,6133
WS-21-3-B,42746,30209,5049,5446,2628,2408
WS-21-4-B,36629,26124,31327,47233,5376,5207
WS-21-5-B,14880,5805,31786,41071,12368,11604
WS-2-1-B,75031,51145,8899,13317,3042,2655
WS-22-1-B,58211,43770,10266,15546,5372,5152
WS-22-2-B,30203,14733,11513,18231,3004,2958
WS-22-3-B,36662,16878,22012,32048,7099,6674
WS-22-4-B,34134,20978,10779,16546,2253,2253
WS-22-5-B,46769,34732,15651,22487,6107,5443
WS-2-2-B,26430,18470,12851,15480,7179,6703
WS-23-1-B,33411,24457,10983,14050,4956,4785
WS-23-2-B,22676,16519,30046,40071,11113,10024
WS-23-3-B,20082,15334,23966,25706,11883,10451
WS-23-4-B,54569,42826,2727,5484,736,736
WS-23-5-B,36854,27227,27976,36022,11722,10995
WS-2-3-B,14022,6449,18836,27766,5117,4981
WS-24-1-B,49571,38496,24020,32221,9605,9079
WS-24-2-B,38268,30295,22875,29477,11525,10652
WS-24-3-B,45267,34593,23133,29244,11552,10103
WS-24-4-B,39370,31419,5270,11194,1208,1208
WS-24-5-B,39320,31129,18530,23434,7687,7058
WS-2-4-B,15040,12837,23820,32804,9874,9356
WS-25-1-B,33584,25007,18291,24030,7535,7273
WS-25-2-B,45842,35090,3663,6387,1384,1384
WS-25-3-B,35764,25632,24715,31364,9626,8705
WS-25-4-B,18625,7328,8554,12530,4031,3870
WS-25-5-B,44128,33106,22646,29966,8988,8038
WS-2-5-B,18752,13745,18750,24910,7064,6598
WS-26-1-B,42682,31850,6568,10338,1341,1341
WS-26-2-B,34778,26585,1,2,0,0
WS-26-3-B,15416,11827,3,3,3,0
WS-26-4-B,11,7,2,2,2,2
WS-26-5-B,19,11,1,1,0,0
WS-27-1-B,8,4,2,3,2,2
WS-27-2-B,17,7,1,2,0,0
WS-27-3-B,10,9,1,1,0,0
WS-27-4-B,14,8,1,1,0,0
WS-27-5-B,10,6,1,1,0,0
WS-28-1-B,9,9,1,1,0,0
WS-28-2-B,11,6,1,1,0,0
WS-28-3-B,8,3,1,1,0,0
WS-28-4-B,9,5,1,1,0,0
WS-28-5-B,14,5,1,2,0,0
WS-29-1-B,12,9,1,1,0,0
WS-29-2-B,13,11,1,1,0,0
WS-29-3-B,12,6,13977,22294,3692,3446
WS-29-4-B,10,7,20280,26391,8634,8097
WS-29-5-B,31320,24844,16594,24638,2758,2533
WS-30-1-B,36817,28008,16030,24590,3409,3207
WS-30-2-B,37290,27051,9594,13697,3407,3329
WS-30-3-B,36021,27006,21466,29373,8147,7859
WS-30-4-B,23896,15358,19623,22050,9432,7889
WS-30-5-B,41618,31309,18358,26634,5733,5500
WS-3-1-B,29410,23296,18093,20270,8287,7898
WS-3-2-B,34430,28496,16230,19690,7768,7282
WS-3-3-B,27181,21236,19543,23476,8824,8036
WS-3-4-B,29080,20828,441,651,302,302
WS-3-5-B,29605,24628,1363,1646,594,594
WS-4-1-B,2480,871,36718,46320,15186,13745
WS-4-2-B,3186,1902,4913,5867,2578,2578
WS-4-3-B,69065,48924,24479,26588,13332,12002
WS-4-4-B,8964,6375,3152,3765,1386,1386
WS-4-5-B,63034,27972,37778,42555,18168,15843
WS-5-1-B,6049,4279,3691,4376,1493,1493
WS-5-2-B,78400,44455,130,215,91,91
WS-5-3-B,6869,4936,5111,5937,2931,2929
WS-5-4-B,618,335,21762,24601,10539,9410
WS-5-5-B,20215,6442,6495,7509,3318,3296
WS-6-1-B,49614,25970,20030,21822,11325,10802
WS-6-2-B,12984,8156,22793,24633,14179,13443
WS-6-3-B,46534,22717,11421,12810,6393,6301
WS-6-4-B,41679,25629,6935,7832,3541,3530
WS-6-5-B,23572,13698,5029,6023,2636,2606
WS-7-1-B,13945,8557,1261,1578,478,478
WS-7-2-B,11535,6362,1150,1488,301,301
WS-7-3-B,2658,1891,24787,30564,9122,8745
WS-7-4-B,2773,1857,11740,12967,6195,6145
WS-7-5-B,43921,32664,26067,29731,8739,7133
WS-8-1-B,22266,13812,24143,26515,10989,8920
WS-8-2-B,44342,31573,19992,22526,9254,7449
WS-8-3-B,42239,27983,533,798,163,163
WS-8-4-B,31856,23596,1076,1407,335,335
WS-8-5-B,2091,1115,25306,28643,8664,7562
WS-9-1-B,2830,1817,838,1048,232,232
WS-9-2-B,46790,30195,483,628,112,112
WS-9-3-B,3035,1479,12041,13278,1580,1527
WS-9-4-B,2419,1115,19389,19253,14825,10445
WS-9-5-B,46489,15740,12125,12434,6375,5577
WS-Neg-1-B,25031,19817,17567,18044,9065,7866
WS-Neg-2-B,16090,12939,43250,43224,41235,30560
WS-Neg-3-B,26061,18666,53,65,20,20
WS-Pos-1-B,53582,43442,47,39,31,31
